Serving HTTP on 127.0.0.1 port 58524 (http://127.0.0.1:58524/) ...
127.0.0.1 - - [09/Sep/2026 09:51:33] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:51:33] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:51:33] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:51:33] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:51:33] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:51:33] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:51:33] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:51:33] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:51:34] "GET /mcp/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:51:34] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:51:34] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:51:34] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:51:34] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:51:34] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:51:34] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:51:34] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:51:35] "GET /sessions/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:51:35] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
