Serving HTTP on 127.0.0.1 port 53780 (http://127.0.0.1:53780/) ...
127.0.0.1 - - [09/Sep/2026 08:43:26] "GET /mcp/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:26] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:26] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:26] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:26] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:26] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:26] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:26] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:27] "GET /tutorials/sessions/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:27] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:27] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:27] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:27] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:27] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:27] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:27] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:27] "GET /tutorials/views/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:27] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:27] "GET /development/evidence/p06/observer/native-01.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:27] "GET /development/evidence/p06/observer/native-03.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:27] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:27] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 08:43:27] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
