Serving HTTP on 127.0.0.1 port 64012 (http://127.0.0.1:64012/) ...
127.0.0.1 - - [09/Sep/2026 20:21:54] "GET /mcp/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:54] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:54] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:54] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:54] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:54] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:54] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:54] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:55] "GET /mcp/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:55] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:55] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:55] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:55] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:55] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:55] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:55] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:55] "GET /tutorials/opm/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:55] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:55] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:55] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:55] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:55] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:55] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:55] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:56] "GET /tutorials/opm/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:56] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:56] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:56] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:56] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:56] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:56] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:56] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:57] "GET /tutorials/opm/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:57] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:57] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:57] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:57] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:57] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:57] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:57] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:57] "GET /views/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:57] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:57] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:57] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:57] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:57] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:57] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:57] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:58] "GET /views/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:58] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:58] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:58] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:58] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:58] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:58] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:58] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:59] "GET /development/launcher-evidence/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:59] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:59] "GET /development/evidence/launcher/images/P04_first_3D_View_PRESSURE_00_01_Jan_2015.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:59] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:59] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:59] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:59] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:59] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:59] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:59] "GET /development/evidence/opm-launcher/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:59] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:59] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:59] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:59] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:59] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:59] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:21:59] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:00] "GET /development/evidence/opm-launcher/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:00] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:00] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:00] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:00] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:00] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:00] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:00] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /mcp/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /mcp/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /tutorials/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /tutorials/sessions/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /tutorials/models/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /tutorials/opm/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /tutorials/views/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /tutorials/jobs/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /sessions/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /views/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /jobs/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /synthetic-models/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /wells/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /opm/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /results/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /security/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /license/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /development/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /development/agent-workflows/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /development/agent-guide/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /development/local-setup/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /development/project-organization/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /development/platform-proof/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /development/platform-resinsight/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /development/platform-opm/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /development/platform-images/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:22:01] "GET /development/testing-and-review/ HTTP/1.1" 200 -
