Serving HTTP on 127.0.0.1 port 52006 (http://127.0.0.1:52006/) ...
127.0.0.1 - - [09/Sep/2026 11:56:52] "GET /development/wells/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:52] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:52] "GET /development/evidence/p09/case-aware/modeled-wells.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:52] "GET /development/evidence/p09/prepared-input-validated/prepared-input.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:52] "GET /development/evidence/p09/service/trial-04/serviceP09_PROD_J5_slice_PERMX_%28mD%29_3D_View_PERMX.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:52] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:52] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:52] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:52] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:52] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:52] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:52] "GET /development/evidence/p09/service/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:52] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:52] "GET /development/evidence/p09/service/trial-04/serviceP09_PROD_J5_slice_PERMX_%28mD%29_3D_View_PERMX.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:52] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:52] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:52] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:52] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:52] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:52] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:53] "GET /development/evidence/p09/service/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:53] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:53] "GET /development/evidence/p09/service/trial-04/serviceP09_PROD_J5_slice_PERMX_%28mD%29_3D_View_PERMX.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:53] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:53] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 11:56:53] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
