Serving HTTP on 127.0.0.1 port 63215 (http://127.0.0.1:63215/) ...
127.0.0.1 - - [09/Sep/2026 20:16:11] "GET /wells/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:11] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:11] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:11] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:11] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:11] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:11] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:11] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:11] "GET /wells/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:11] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:11] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:11] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:11] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:11] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:11] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:11] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:12] "GET /development/wells/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:12] "GET /development/evidence/p09/case-aware/modeled-wells.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:12] "GET /development/evidence/p09/prepared-input-validated/prepared-input.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:12] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:12] "GET /development/evidence/p09/service/trial-04/serviceP09_PROD_J5_slice_PERMX_%28mD%29_3D_View_PERMX.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:12] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:12] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:12] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:12] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:12] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:12] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:13] "GET /development/evidence/p09/lifetime/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:13] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:13] "GET /development/evidence/p09/lifetime/trial-03/restoredP09_PROD_J5_slice_PERMX_%28mD%29_3D_View_PERMX.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:13] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:13] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:13] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:13] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:13] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:13] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:13] "GET /development/evidence/p09/lifetime/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:13] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:13] "GET /development/evidence/p09/lifetime/trial-03/restoredP09_PROD_J5_slice_PERMX_%28mD%29_3D_View_PERMX.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:13] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:13] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:13] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:13] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:13] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:13] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:14] "GET /development/evidence/p09/lifetime/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:14] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:14] "GET /development/evidence/p09/lifetime/trial-03/restoredP09_PROD_J5_slice_PERMX_%28mD%29_3D_View_PERMX.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:14] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:14] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:14] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:14] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:14] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:14] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:15] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:15] "GET /mcp/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:15] "GET /tutorials/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:15] "GET /tutorials/sessions/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:15] "GET /tutorials/models/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:15] "GET /tutorials/views/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:15] "GET /tutorials/jobs/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:15] "GET /sessions/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:15] "GET /views/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:15] "GET /jobs/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:15] "GET /synthetic-models/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:15] "GET /wells/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:16:15] "GET /security/ HTTP/1.1" 200 -
