Serving HTTP on 127.0.0.1 port 63008 (http://127.0.0.1:63008/) ...
127.0.0.1 - - [09/Sep/2026 20:15:57] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:57] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:57] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:57] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:57] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:57] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:57] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:57] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:58] "GET /opm/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:58] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:58] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:58] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:58] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:58] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:58] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:58] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:59] "GET /opm/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:59] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:59] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:59] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:59] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 20:15:59] "GET /search/search_index.json HTTP/1.1" 200 -
