Serving HTTP on 127.0.0.1 port 56537 (http://127.0.0.1:56537/) ...
127.0.0.1 - - [09/Sep/2026 09:27:47] "GET /development/well-contracts/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:47] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:47] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:47] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:47] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:47] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:47] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:47] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:48] "GET /development/contracts/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:48] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:48] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:48] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:48] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:48] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:48] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:48] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /development/implementation-plan/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /assets/stylesheets/main.ec1eaa64.min.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /assets/javascripts/bundle.d7400e89.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /javascripts/mathjax.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /assets/javascripts/workers/search.2c215733.min.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /search/search_index.json HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /assets/images/favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /development/sessions/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /development/architecture/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /development/workspaces/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /development/mcp/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /development/contracts/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /development/well-contracts/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /development/agent-workflows/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /development/p04-evidence/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /development/p06-evidence/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /development/jobs/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /development/p10-evidence/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /development/scope-review/ HTTP/1.1" 200 -
127.0.0.1 - - [09/Sep/2026 09:27:49] "GET /development/testing-and-review/ HTTP/1.1" 200 -
